education,customer_id,age,marital,job,default,balance,housing,loan
secondary,111571,55.0,divorced,retired,no,1580,no,yes
unknown,111575,47.0,married,admin.,no,989,no,no
primary,111587,49.0,married,blue-collar,no,98,no,yes
primary,111588,49.0,married,entrepreneur,no,563,no,no
unknown,111594,50.0,married,blue-collar,no,1389,yes,no
primary,111595,38.0,married,unemployed,no,338,no,no
secondary,111608,53.0,married,technician,no,1319,no,no
primary,111611,55.0,married,housemaid,no,2152,no,no
secondary,111616,39.0,married,services,no,2843,yes,no
tertiary,111620,36.0,married,management,no,1352,no,no
tertiary,111627,40.0,married,entrepreneur,yes,0,no,no
primary,111647,59.0,married,retired,no,1115,no,no
secondary,111666,37.0,married,admin.,no,313,yes,no
unknown,111672,46.0,married,blue-collar,no,626,yes,no
tertiary,111691,52.0,divorced,retired,no,-309,yes,no
secondary,111694,37.0,married,management,no,121,no,yes
secondary,111698,47.0,married,entrepreneur,no,0,no,no
tertiary,111700,35.0,single,management,no,250,no,no
secondary,111706,26.0,single,technician,no,-859,yes,no
secondary,111707,25.0,married,blue-collar,no,1782,yes,no
SECONDARY,111708,28.0,married,blue-collar,no,1331,yes,yes
secondary,111711,29.0,single,admin.,no,732,yes,no
primary,111713,55.0,married,housemaid,no,136,yes,no
secondary,111718,42.0,single,blue-collar,no,625,no,no
tertiary,111719,45.0,married,technician,no,377,yes,no
primary,111720,41.0,married,blue-collar,no,246,no,no
unknown,111722,43.0,single,admin.,no,682,no,no
secondary,111723,27.0,married,blue-collar,no,61,yes,no
secondary,111732,25.0,single,blue-collar,no,-191,yes,no
tertiary,111738,46.0,married,entrepreneur,no,341,no,no
SECONDARY,111750,50.0,married,unemployed,no,17,no,no
primary,111760,50.0,married,retired,no,29,no,no
primary,111770,56.0,divorced,unemployed,no,438,no,no
secondary,111781,51.0,married,admin.,no,37,no,yes
secondary,111799,36.0,married,management,no,1736,yes,no
primary,111803,43.0,married,unemployed,no,519,no,no
secondary,111812,60.0,married,retired,no,1690,no,no
tertiary,111816,48.0,married,management,no,5320,yes,no
tertiary,111817,50.0,divorced,technician,no,261,no,no
SECONDARY,111826,44.0,married,services,no,522,no,yes
primary,111829,55.0,divorced,housemaid,no,0,no,no
secondary,111836,26.0,single,blue-collar,no,-46,yes,no
tertiary,111840,52.0,married,retired,no,2269,no,no
secondary,111841,50.0,divorced,technician,no,396,no,no
primary,111850,43.0,single,management,no,0,no,no
tertiary,111860,47.0,married,self-employed,no,1917,no,no
unknown,111863,54.0,married,services,no,386,no,yes
primary,111869,44.0,married,blue-collar,yes,0,no,yes
secondary,111871,57.0,married,technician,no,0,no,no
tertiary,111878,56.0,married,management,no,0,no,yes
secondary,111879,37.0,married,unemployed,no,1038,no,no
tertiary,111882,57.0,married,management,no,9103,no,yes
secondary,111886,41.0,married,admin.,no,0,no,no
tertiary,111889,36.0,married,management,no,1355,yes,no
secondary,111900,53.0,divorced,services,no,-223,no,no
tertiary,111903,44.0,married,management,no,2400,no,no
primary,111912,46.0,married,housemaid,no,296,yes,no
tertiary,111920,42.0,married,technician,no,-215,no,no
secondary,111933,20.0,single,student,no,-322,yes,no
primary,111934,36.0,married,blue-collar,no,44,no,no
secondary,111935,47.0,married,services,no,1111,no,no
secondary,111939,29.0,single,blue-collar,no,908,yes,no
tertiary,111942,47.0,married,technician,no,1694,no,yes
tertiary,111947,57.0,married,management,no,-92,yes,yes
secondary,111959,46.0,married,blue-collar,no,101,yes,no
secondary,111960,40.0,married,blue-collar,no,188,yes,yes
secondary,111964,54.0,married,services,no,515,no,yes
tertiary,111966,38.0,single,blue-collar,no,2885,yes,no
primary,111969,39.0,divorced,blue-collar,no,4168,yes,no
primary,111989,42.0,married,blue-collar,no,161,yes,no
secondary,111996,59.0,DIVORCED,retired,no,0,no,no
unknown,112002,45.0,married,admin.,no,1557,no,no
secondary,112004,39.0,married,blue-collar,no,3832,yes,no
secondary,112031,38.0,single,technician,no,258,no,yes
secondary,112040,50.0,married,technician,no,1088,yes,no
secondary,112043,48.0,married,technician,no,71,no,no
secondary,112052,36.0,divorced,blue-collar,no,853,no,no
secondary,112063,51.0,married,housemaid,no,3984,no,no
primary,112072,43.0,married,blue-collar,no,-59,yes,no
secondary,112078,46.0,divorced,services,no,0,no,no
primary,112083,45.0,divorced,services,no,3854,yes,no
secondary,112086,49.0,divorced,services,no,947,no,no
primary,112095,57.0,married,blue-collar,no,1592,no,yes
secondary,112097,43.0,single,blue-collar,no,740,yes,no
tertiary,112110,45.0,married,management,no,655,no,no
secondary,112114,52.0,divorced,services,no,765,yes,no
tertiary,112119,60.0,married,management,no,651,no,no
primary,112137,57.0,married,blue-collar,no,8403,no,no
secondary,112143,56.0,married,blue-collar,no,277,no,no
primary,112152,49.0,married,blue-collar,no,4134,no,no
secondary,112155,30.0,single,technician,no,157,yes,no
secondary,112157,24.0,married,management,no,867,yes,no
secondary,112164,30.0,married,admin.,no,-1049,yes,no
primary,112174,44.0,married,blue-collar,no,-312,yes,no
secondary,112190,53.0,married,admin.,no,3765,no,no
secondary,112203,54.0,married,technician,no,827,no,yes
tertiary,112208,35.0,single,management,no,996,no,no
primary,112219,60.0,married,blue-collar,no,703,no,no
primary,112236,51.0,married,management,no,6298,yes,no
secondary,112239,50.0,married,services,no,901,yes,no
unknown,112240,44.0,divorced,technician,no,1823,no,no
tertiary,112241,40.0,married,management,no,10786,no,no
secondary,112246,40.0,married,blue-collar,no,1009,yes,yes
unknown,112248,56.0,married,unknown,no,361,no,no
unknown,112260,38.0,divorced,services,no,6360,no,no
secondary,112269,46.0,married,blue-collar,no,2944,no,no
secondary,112292,26.0,single,technician,no,1275,yes,no
tertiary,112298,47.0,DIVORCED,unemployed,no,780,no,no
unknown,112303,56.0,married,entrepreneur,no,575,no,no
secondary,112309,36.0,single,student,no,904,no,no
SECONDARY,112316,28.0,single,blue-collar,no,-267,yes,no
primary,112320,60.0,married,blue-collar,no,1472,no,no
unknown,112321,53.0,married,blue-collar,no,-491,yes,no
primary,112342,44.0,married,blue-collar,no,2657,yes,no
tertiary,112348,36.0,married,unemployed,no,4145,no,no
secondary,112350,27.0,single,blue-collar,yes,-27,no,no
primary,112351,26.0,single,admin.,no,-122,yes,no
tertiary,112361,43.0,married,management,no,149,yes,no
secondary,112365,34.0,married,technician,no,1,yes,no
secondary,112375,50.0,single,admin.,no,1318,no,yes
primary,112377,25.0,single,blue-collar,no,52,yes,no
tertiary,112378,31.0,married,technician,no,1197,yes,no
secondary,112392,34.0,married,technician,no,1,no,yes
secondary,112407,29.0,divorced,blue-collar,no,0,yes,no
secondary,112414,47.0,divorced,blue-collar,yes,0,no,yes
tertiary,112421,27.0,married,blue-collar,no,335,yes,no
tertiary,112424,30.0,married,technician,no,526,yes,yes
secondary,112425,52.0,married,services,no,-1,no,yes
secondary,112426,57.0,married,self-employed,no,35,no,yes
tertiary,112438,46.0,married,technician,no,157,no,no
secondary,112448,28.0,single,admin.,no,-7,no,yes
tertiary,112450,35.0,married,management,no,24,yes,no
tertiary,112455,35.0,single,self-employed,no,4294,no,no
primary,112458,27.0,married,blue-collar,no,-413,no,yes
secondary,112460,32.0,divorced,admin.,no,-241,no,yes
secondary,112461,47.0,married,services,no,1160,yes,no
secondary,112468,57.0,married,retired,no,-418,no,yes
primary,112477,55.0,married,retired,no,2,no,no
primary,112478,58.0,married,services,no,65,no,no
tertiary,112490,51.0,married,blue-collar,no,84,no,yes
primary,112492,60.0,divorced,retired,no,95,no,yes
secondary,112502,24.0,single,services,no,11,yes,no
secondary,112518,26.0,single,services,no,-72,yes,no
secondary,112527,33.0,married,services,no,740,no,yes
primary,112531,49.0,married,blue-collar,no,230,no,yes
SECONDARY,112534,44.0,married,admin.,yes,0,no,yes
tertiary,112536,55.0,married,management,no,0,no,no
secondary,112542,49.0,married,admin.,no,2062,no,no
secondary,112548,41.0,single,blue-collar,no,75,yes,no
secondary,112552,39.0,married,blue-collar,no,971,yes,yes
secondary,112567,59.0,married,technician,no,6,no,yes
secondary,112576,43.0,single,admin.,no,91,no,yes
tertiary,112590,45.0,single,technician,no,2099,no,yes
tertiary,112592,37.0,single,technician,no,0,no,no
secondary,112596,27.0,single,technician,no,158,no,no
primary,112600,51.0,divorced,blue-collar,no,-28,no,yes
secondary,112605,48.0,married,technician,no,0,yes,yes
secondary,112607,45.0,single,technician,no,52,no,yes
primary,112608,45.0,married,self-employed,no,-584,yes,yes
primary,112609,50.0,married,services,no,-15,no,yes
tertiary,112614,50.0,married,management,no,830,no,no
secondary,112618,32.0,single,blue-collar,no,-255,no,yes
tertiary,112628,54.0,married,unemployed,no,0,no,yes
secondary,112635,29.0,single,services,no,84,no,yes
secondary,112665,33.0,married,services,no,114,no,yes
primary,112670,60.0,married,blue-collar,no,241,no,yes
primary,112671,51.0,single,blue-collar,no,60,no,no
secondary,112678,47.0,married,admin.,no,1156,no,yes
secondary,112681,56.0,married,entrepreneur,no,938,no,yes
primary,112684,34.0,married,blue-collar,no,0,no,no
secondary,112689,33.0,single,technician,no,0,no,no
unknown,112690,36.0,married,technician,no,88,yes,yes
unknown,112693,31.0,single,technician,no,365,no,no
secondary,112710,36.0,married,technician,no,644,no,no
tertiary,112711,46.0,single,management,no,655,no,yes
tertiary,112713,37.0,single,technician,no,487,no,yes
primary,112724,36.0,married,technician,no,0,no,no
secondary,112730,32.0,single,technician,no,-28,no,yes
secondary,112733,41.0,married,services,no,6618,yes,no
secondary,112739,56.0,divorced,services,no,1347,no,yes
secondary,112741,31.0,single,blue-collar,no,-27,no,no
tertiary,112748,50.0,married,management,no,453,no,yes
primary,112751,29.0,single,services,no,339,no,no
secondary,112753,44.0,married,blue-collar,no,1697,yes,no
primary,112754,48.0,divorced,blue-collar,no,19,no,yes
secondary,112758,27.0,single,management,no,35,no,no
secondary,112763,28.0,single,blue-collar,no,-127,yes,no
secondary,112764,50.0,married,blue-collar,no,1329,yes,yes
secondary,112774,54.0,married,technician,no,187,no,yes
secondary,112778,28.0,single,services,no,-116,no,yes
primary,112785,49.0,married,blue-collar,no,-157,yes,no
secondary,112786,55.0,married,blue-collar,no,49,yes,no
secondary,112787,51.0,married,technician,no,216,no,no
secondary,112789,38.0,married,blue-collar,no,222,yes,yes
secondary,112795,31.0,single,admin.,no,-182,yes,no
primary,112804,60.0,married,retired,no,-63,yes,no
primary,112805,58.0,married,management,no,4850,no,no
primary,112806,56.0,married,blue-collar,no,409,yes,no
primary,112807,36.0,single,unemployed,no,0,yes,no
secondary,112813,59.0,married,blue-collar,no,-1336,no,yes
secondary,112819,39.0,single,technician,no,506,yes,no
secondary,112823,45.0,divorced,unemployed,no,-44,yes,no
primary,112828,42.0,divorced,blue-collar,no,213,yes,no
secondary,112829,33.0,single,services,no,170,no,no
tertiary,112836,59.0,married,management,no,553,yes,no
primary,112839,45.0,divorced,blue-collar,no,1805,no,no
secondary,112841,42.0,divorced,blue-collar,no,3407,no,no
tertiary,112854,36.0,divorced,entrepreneur,no,776,no,yes
secondary,112856,45.0,married,technician,no,879,no,no
primary,112858,43.0,married,services,no,29,no,no
secondary,112859,37.0,married,self-employed,no,1633,no,no
secondary,112865,46.0,married,unemployed,no,926,no,no
SECONDARY,112866,43.0,married,technician,no,-796,no,no
secondary,112873,44.0,married,services,no,182,yes,yes
secondary,112879,57.0,married,technician,no,0,no,no
tertiary,112884,35.0,single,management,no,12,no,no
secondary,112887,45.0,divorced,services,no,88,no,yes
primary,112892,60.0,divorced,blue-collar,no,3427,no,no
tertiary,112896,32.0,single,self-employed,no,2559,no,no
secondary,112897,32.0,married,admin.,no,1604,no,yes
tertiary,112899,30.0,single,management,no,0,no,no
unknown,112905,40.0,married,technician,no,0,no,yes
secondary,112917,34.0,single,technician,no,232,no,no
primary,112921,49.0,married,blue-collar,no,-167,no,no
secondary,112922,28.0,single,technician,no,909,no,yes
secondary,112925,45.0,divorced,admin.,no,-176,no,yes
secondary,112931,31.0,single,technician,no,475,no,no
secondary,112941,41.0,married,management,no,0,no,yes
secondary,112963,41.0,single,blue-collar,yes,1085,yes,yes
primary,112967,59.0,divorced,blue-collar,no,1265,no,yes
secondary,112968,46.0,married,management,no,700,no,yes
SECONDARY,112972,,married,technician,no,-241,yes,yes
tertiary,112981,27.0,single,management,no,338,no,yes
SECONDARY,112983,47.0,single,technician,no,-239,yes,yes
secondary,112986,57.0,married,retired,no,-37,no,yes
secondary,113000,32.0,single,admin.,no,212,no,no
tertiary,113003,60.0,DIVORCED,retired,no,468,no,no
primary,113021,45.0,married,blue-collar,no,55,no,no
secondary,113035,37.0,married,admin.,no,147,yes,no
secondary,113039,27.0,single,ADMINISTRATION,no,145,no,yes
primary,113040,25.0,married,blue-collar,no,0,no,no
unknown,113048,39.0,married,blue-collar,no,18,no,no
tertiary,113050,50.0,divorced,self-employed,no,387,no,no
primary,113068,58.0,married,blue-collar,no,853,no,no
primary,113072,27.0,single,blue-collar,no,1659,no,yes
tertiary,113073,35.0,married,management,no,126,no,yes
secondary,113093,28.0,married,blue-collar,no,619,no,no
SECONDARY,113099,31.0,single,blue-collar,no,726,no,no
secondary,113101,43.0,married,unknown,no,1926,no,no
secondary,113103,45.0,married,entrepreneur,no,4688,no,no
secondary,113105,33.0,married,technician,no,-805,no,no
unknown,113119,36.0,single,blue-collar,yes,-395,yes,no
secondary,113127,30.0,single,admin.,no,312,no,no
tertiary,113130,34.0,married,entrepreneur,no,412,yes,yes
tertiary,113131,33.0,married,management,no,-139,no,no
secondary,113141,26.0,single,blue-collar,no,5,no,no
tertiary,113156,28.0,single,self-employed,no,226,no,yes
tertiary,113158,31.0,single,management,no,296,no,yes
primary,113162,42.0,single,blue-collar,no,1322,yes,yes
secondary,113167,33.0,married,entrepreneur,no,-627,yes,yes
tertiary,113168,52.0,married,entrepreneur,yes,-468,no,no
secondary,113169,30.0,divorced,blue-collar,no,0,no,yes
tertiary,113176,26.0,single,technician,no,291,no,yes
tertiary,113177,32.0,married,management,yes,2,no,no
secondary,113184,27.0,single,technician,yes,0,no,yes
secondary,113185,29.0,single,services,no,1274,no,no
tertiary,113186,36.0,married,management,no,128,no,no
primary,113189,55.0,married,blue-collar,no,137,no,no
secondary,113205,26.0,single,self-employed,no,551,no,no
secondary,113208,25.0,single,technician,no,0,no,yes
secondary,113212,25.0,married,blue-collar,no,101,no,yes
primary,113213,42.0,married,blue-collar,no,1556,no,yes
secondary,113220,59.0,divorced,services,no,136,no,yes
tertiary,113221,34.0,single,admin.,no,-199,no,yes
unknown,113226,28.0,single,admin.,no,2736,no,no
tertiary,113232,26.0,single,management,no,33,no,yes
secondary,113243,26.0,single,services,yes,74,no,no
secondary,113244,42.0,divorced,unemployed,no,2699,no,no
secondary,113247,25.0,single,technician,no,102,no,yes
secondary,113248,42.0,married,admin.,no,-150,no,yes
tertiary,113252,42.0,married,management,no,478,no,yes
secondary,113253,44.0,divorced,technician,no,26,no,no
secondary,113256,28.0,married,services,no,510,yes,yes
secondary,113261,26.0,single,technician,no,68,no,yes
secondary,113265,28.0,single,blue-collar,no,517,no,yes
tertiary,113275,33.0,divorced,entrepreneur,no,37,no,yes
tertiary,113278,45.0,divorced,management,no,854,no,yes
tertiary,113281,35.0,married,self-employed,yes,28,no,yes
secondary,113284,60.0,married,retired,no,1141,no,yes
secondary,113287,36.0,married,services,no,30,no,yes
secondary,113290,30.0,married,services,no,2261,yes,yes
secondary,113302,26.0,single,blue-collar,yes,81,no,yes
SECONDARY,113317,,divorced,housemaid,no,188,no,no
secondary,113329,31.0,married,blue-collar,no,152,yes,yes
unknown,113356,28.0,single,management,no,81,no,yes
SECONDARY,113361,38.0,married,technician,no,0,no,no
secondary,113367,31.0,married,management,no,-329,yes,no
secondary,113368,32.0,divorced,blue-collar,no,-299,yes,no
secondary,113373,56.0,single,blue-collar,no,663,no,yes
secondary,113377,35.0,married,services,no,629,no,yes
secondary,113386,41.0,single,blue-collar,no,-329,no,yes
secondary,113388,33.0,single,services,no,969,no,no
tertiary,113397,29.0,single,management,no,640,no,no
secondary,113399,26.0,single,admin.,no,102,no,yes
secondary,113403,26.0,married,technician,no,370,no,yes
secondary,113404,47.0,married,technician,no,-107,no,no
primary,113406,57.0,married,blue-collar,no,0,no,no
unknown,113409,41.0,divorced,blue-collar,no,19,no,yes
primary,113413,54.0,married,housemaid,no,8,no,yes
tertiary,113414,27.0,married,management,no,5262,no,yes
primary,113415,35.0,married,retired,no,329,no,yes
secondary,113418,25.0,single,blue-collar,no,189,no,yes
tertiary,113424,36.0,single,management,no,-74,yes,yes
secondary,113425,37.0,married,blue-collar,no,128,yes,no
primary,113431,26.0,married,housemaid,no,158,no,yes
secondary,113433,27.0,single,services,no,-151,no,no
tertiary,113435,28.0,single,entrepreneur,no,283,yes,no
secondary,113437,41.0,married,blue-collar,no,97,no,yes
primary,113438,26.0,single,blue-collar,no,16,no,yes
tertiary,113439,29.0,single,technician,no,313,no,yes
secondary,113445,56.0,married,blue-collar,no,339,no,no
primary,113447,59.0,married,retired,no,21,no,no
secondary,113452,41.0,married,blue-collar,no,232,no,no
secondary,113459,52.0,married,management,no,4873,no,no
secondary,113464,47.0,married,blue-collar,no,125,no,no
secondary,113477,40.0,married,admin.,no,275,yes,no
secondary,113484,41.0,married,technician,no,112,yes,no
secondary,113496,26.0,single,unemployed,no,111,no,no
secondary,113501,36.0,married,blue-collar,no,56,yes,no
secondary,113503,35.0,married,admin.,no,332,no,no
tertiary,113504,53.0,married,management,no,0,yes,no
unknown,113506,33.0,married,management,no,117,no,yes
tertiary,113509,53.0,single,retired,no,888,yes,no
tertiary,113513,33.0,married,admin.,no,0,yes,yes
tertiary,113515,30.0,married,self-employed,no,5,yes,yes
tertiary,113520,45.0,divorced,management,no,702,no,yes
secondary,113534,36.0,single,admin.,no,281,no,no
primary,113540,40.0,married,blue-collar,no,665,yes,no
secondary,113546,53.0,single,technician,no,-165,yes,no
SECONDARY,113550,35.0,married,technician,no,2355,yes,no
unknown,113559,52.0,married,blue-collar,no,0,yes,no
primary,113565,37.0,married,admin.,no,214,yes,no
primary,113567,43.0,single,blue-collar,no,0,no,no
tertiary,113568,58.0,married,entrepreneur,no,776,yes,no
unknown,113570,31.0,single,management,no,1023,no,yes
primary,113573,53.0,married,housemaid,no,-286,yes,no
tertiary,113574,41.0,divorced,services,no,1583,yes,no
SECONDARY,113575,49.0,married,blue-collar,no,0,no,yes
secondary,113580,36.0,married,technician,no,264,yes,yes
secondary,113581,43.0,married,technician,no,-754,yes,yes
tertiary,113606,45.0,married,management,no,4693,no,yes
unknown,113608,31.0,divorced,services,no,0,no,yes
tertiary,113615,29.0,divorced,admin.,yes,0,no,yes
tertiary,113624,35.0,divorced,management,no,6997,yes,no
tertiary,113625,42.0,married,entrepreneur,no,0,no,no
secondary,113639,35.0,married,blue-collar,no,0,yes,no
secondary,113642,39.0,divorced,services,no,687,yes,no
secondary,113644,33.0,married,services,no,-384,yes,no
tertiary,113646,38.0,married,management,yes,327,yes,yes
primary,113653,57.0,married,admin.,no,389,no,no
primary,113660,56.0,married,retired,no,122,no,yes
secondary,113663,40.0,married,services,no,22,yes,yes
tertiary,113667,33.0,married,entrepreneur,no,127,no,yes
primary,113678,44.0,married,housemaid,no,0,yes,no
primary,113704,38.0,married,blue-collar,no,-257,yes,yes
secondary,113721,42.0,married,services,no,0,yes,no
secondary,113722,51.0,divorced,blue-collar,no,104,no,no
secondary,113723,30.0,married,blue-collar,no,1,no,yes
secondary,113739,26.0,married,technician,no,-119,no,yes
primary,113745,52.0,married,housemaid,no,0,no,yes
secondary,113748,37.0,married,blue-collar,no,982,yes,no
tertiary,113751,38.0,single,management,no,633,no,no
tertiary,113760,32.0,married,management,no,794,yes,yes
secondary,113766,47.0,married,technician,no,-3,no,yes
primary,113767,33.0,married,blue-collar,no,-191,yes,yes
tertiary,113770,31.0,single,management,no,409,no,yes
tertiary,113775,44.0,married,entrepreneur,no,0,yes,no
unknown,113776,51.0,married,blue-collar,no,41,yes,no
primary,113787,49.0,married,blue-collar,no,3,no,yes
primary,113791,27.0,single,unemployed,no,9,no,yes
secondary,113799,42.0,married,technician,no,2030,yes,yes
secondary,113802,30.0,single,blue-collar,no,155,yes,yes
secondary,113805,39.0,married,blue-collar,no,1309,no,yes
tertiary,113821,57.0,married,management,no,1410,yes,no
secondary,113822,35.0,married,blue-collar,no,1330,no,no
unknown,113824,47.0,divorced,management,no,184,yes,no
secondary,113827,27.0,single,services,no,-266,no,yes
secondary,113832,26.0,single,blue-collar,no,-29,yes,no
secondary,113840,31.0,married,blue-collar,no,2,yes,no
secondary,113845,49.0,married,blue-collar,no,360,no,no
tertiary,113847,32.0,married,technician,no,113,no,yes
secondary,113852,46.0,married,technician,no,218,no,no
secondary,113860,30.0,married,blue-collar,no,167,yes,no
tertiary,113880,43.0,married,management,no,4923,yes,no
secondary,113886,46.0,married,blue-collar,no,190,no,yes
unknown,113900,45.0,married,entrepreneur,no,3133,yes,yes
secondary,113902,34.0,married,ADMINISTRATION,no,-33,yes,yes
secondary,113905,26.0,married,services,no,2063,yes,yes
secondary,113908,47.0,married,blue-collar,no,182,yes,no
secondary,113909,59.0,married,admin.,no,0,yes,no
secondary,113925,48.0,divorced,blue-collar,no,4597,yes,no
secondary,113929,34.0,married,admin.,no,0,yes,no
secondary,113932,41.0,married,blue-collar,no,5517,yes,no
tertiary,113941,36.0,married,management,no,789,yes,yes
primary,113951,55.0,married,retired,no,386,no,yes
SECONDARY,113952,37.0,married,blue-collar,no,563,yes,no
secondary,113954,37.0,single,admin.,no,-261,no,yes
secondary,113967,56.0,married,admin.,no,510,yes,no
tertiary,113969,36.0,single,management,no,1013,yes,no
secondary,113974,38.0,married,admin.,no,260,yes,no
secondary,113977,25.0,single,admin.,no,19,no,no
primary,113985,46.0,married,blue-collar,no,-388,yes,yes
primary,113986,49.0,married,housemaid,no,78,no,no
secondary,113988,56.0,divorced,retired,no,275,yes,yes
secondary,113993,28.0,single,admin.,no,-170,no,yes
secondary,113998,57.0,married,housemaid,no,158,yes,no
tertiary,113999,26.0,single,technician,no,170,yes,no
secondary,114008,29.0,single,technician,no,1714,no,yes
unknown,114010,59.0,divorced,blue-collar,no,454,yes,no
secondary,114011,29.0,married,blue-collar,no,8,yes,yes
secondary,114012,34.0,married,admin.,no,2378,yes,yes
secondary,114014,25.0,single,blue-collar,no,1243,no,yes
secondary,114015,30.0,single,blue-collar,no,1598,yes,no
tertiary,114016,54.0,married,management,no,0,yes,no
secondary,114022,32.0,married,blue-collar,no,0,no,no
secondary,114027,30.0,married,services,no,5,no,yes
secondary,114028,47.0,married,services,no,367,yes,no
secondary,114031,59.0,married,technician,no,925,yes,no
SECONDARY,114033,57.0,divorced,admin.,no,658,no,no
tertiary,114034,38.0,married,management,no,1722,yes,no
secondary,114037,54.0,married,technician,no,-315,no,yes
secondary,114039,37.0,married,blue-collar,no,0,no,yes
tertiary,114040,34.0,single,management,no,1171,yes,no
secondary,114042,29.0,married,admin.,no,795,yes,yes
primary,114045,25.0,single,blue-collar,no,2483,no,no
secondary,114047,58.0,married,technician,no,201,no,no
secondary,114051,50.0,married,services,yes,892,yes,no
tertiary,114060,30.0,married,technician,no,91,no,no
secondary,114068,35.0,married,services,no,63,no,yes
secondary,114081,37.0,married,blue-collar,no,456,no,yes
secondary,114084,30.0,married,blue-collar,no,0,yes,yes
tertiary,114087,26.0,single,management,no,45,no,no
primary,114089,46.0,married,blue-collar,no,1,yes,yes
SECONDARY,114091,29.0,single,technician,no,3527,no,yes
primary,114094,31.0,married,student,no,46,yes,no
tertiary,114097,39.0,married,management,no,397,no,no
secondary,114104,29.0,single,blue-collar,no,482,no,yes
primary,114105,36.0,single,unknown,no,3415,no,no
unknown,114108,53.0,married,technician,no,2242,no,no
tertiary,114110,27.0,married,entrepreneur,no,-23,no,no
primary,114115,40.0,married,services,no,352,yes,no
primary,114123,56.0,single,blue-collar,no,533,no,yes
secondary,114134,32.0,married,self-employed,no,514,yes,no
tertiary,114139,34.0,married,management,no,-73,yes,no
secondary,114147,37.0,single,blue-collar,no,1672,yes,no
tertiary,114148,34.0,married,management,no,161,yes,no
secondary,114181,41.0,married,technician,no,-172,yes,yes
secondary,114185,37.0,married,technician,no,0,yes,no
secondary,114199,59.0,divorced,admin.,no,5,no,yes
secondary,114202,49.0,married,blue-collar,no,3728,yes,no
secondary,114206,56.0,married,technician,no,107,no,no
tertiary,114212,33.0,married,self-employed,no,1249,yes,no
secondary,114214,42.0,married,admin.,no,645,yes,yes
secondary,114215,34.0,married,blue-collar,yes,-745,yes,yes
primary,114219,35.0,single,services,no,167,no,yes
tertiary,114233,35.0,single,management,no,0,no,yes
tertiary,114235,44.0,married,technician,no,851,yes,no
secondary,114242,35.0,single,admin.,no,141,no,no
tertiary,114246,38.0,single,technician,no,0,no,yes
secondary,114250,60.0,divorced,retired,no,1099,no,no
tertiary,114251,60.0,married,management,no,2222,yes,no
tertiary,114254,29.0,single,management,no,983,yes,no
secondary,114256,55.0,divorced,management,no,204,yes,no
primary,114257,39.0,married,blue-collar,no,0,yes,no
unknown,114261,33.0,single,management,no,1534,yes,no
primary,114280,55.0,divorced,blue-collar,no,410,no,yes
secondary,114289,40.0,married,blue-collar,no,178,yes,no
secondary,114292,49.0,married,technician,no,0,yes,no
unknown,114299,36.0,married,technician,no,756,no,no
unknown,114300,45.0,married,blue-collar,no,458,yes,yes
secondary,114304,44.0,married,ADMINISTRATION,no,1074,yes,no
secondary,114316,30.0,married,services,no,4,yes,no
secondary,114318,47.0,married,technician,no,3466,yes,no
secondary,114322,35.0,married,admin.,no,-203,yes,no
unknown,114323,53.0,divorced,admin.,no,257,no,no
tertiary,114329,37.0,married,management,no,0,yes,no
primary,114347,45.0,married,services,no,132,no,no
secondary,114350,32.0,divorced,admin.,no,187,yes,no
secondary,114357,31.0,married,services,no,78,yes,yes
tertiary,114359,35.0,married,entrepreneur,no,1859,yes,no
secondary,114370,55.0,divorced,technician,no,225,no,yes
secondary,114385,40.0,married,blue-collar,no,992,yes,yes
secondary,114398,35.0,married,entrepreneur,no,2436,no,yes
tertiary,114420,43.0,married,management,no,0,no,no
tertiary,114442,50.0,married,management,no,1622,yes,yes
primary,114446,37.0,married,housemaid,no,577,no,no
secondary,114447,32.0,married,technician,no,396,yes,no
primary,114453,53.0,divorced,retired,no,-24,no,yes
SECONDARY,114454,38.0,married,technician,no,976,yes,no
secondary,114455,54.0,married,services,no,171,no,yes
tertiary,114465,34.0,married,entrepreneur,no,146,yes,no
secondary,114484,30.0,single,blue-collar,no,0,yes,no
secondary,114485,50.0,married,technician,no,156,no,yes
secondary,114489,45.0,married,technician,no,144,yes,yes
tertiary,114499,43.0,married,admin.,no,189,yes,no
secondary,114500,52.0,divorced,technician,no,280,no,no
secondary,114511,41.0,divorced,services,no,0,no,no
secondary,114512,30.0,single,blue-collar,no,332,no,no
primary,114514,43.0,married,technician,no,-441,yes,no
secondary,114517,47.0,married,technician,no,0,no,no
primary,114520,54.0,divorced,retired,no,308,yes,no
secondary,114522,37.0,married,technician,no,1328,yes,no
SECONDARY,114524,44.0,divorced,admin.,no,163,yes,no
secondary,114528,33.0,single,admin.,no,0,yes,no
secondary,114533,40.0,divorced,services,no,160,no,no
tertiary,114534,40.0,married,management,no,0,no,no
primary,114538,35.0,married,housemaid,no,0,yes,no
secondary,114543,50.0,married,technician,no,2406,yes,no
secondary,114548,28.0,divorced,management,no,-76,no,yes
secondary,114549,53.0,married,blue-collar,no,-162,yes,no
secondary,114551,51.0,divorced,services,no,242,no,yes
SECONDARY,114557,31.0,married,technician,no,1173,yes,no
primary,114570,36.0,married,blue-collar,no,1580,yes,no
primary,114574,36.0,single,management,no,51,no,no
